Company Name for Emails,# Employees,Industry,Company City,Keywords,Company Phone,Technologies, Annual Revenue ,Short Description,Founded Year,Company Size,Lead_Age,Revenue_Per_Employee
coffeol,46,food & beverages,Dubai,"coffee, food, tea, beverages",'+971 4 454 5123,"Outlook, Amazon AWS, Google Tag Manager, Yelp, Google Analytics, Google Maps, Nginx, Shutterstock, reCAPTCHA, Vimeo, Mobile Friendly, Google Font API, Dynamics 365 Business Central",1582000.0,"""An enticing aroma, a welcoming environment and an original, authentic experience""

Founded in 2001 as a joint venture between a Singaporean businessman and a Thai coffee aficionado, Coffeӧl served its first cup of coffee under the name Mr. Bean, as a privately owned and operated coffee boutique.

Mr. Bean provided a welcoming and familiar coffeehouse experience that chain coffeehouses were, and still are, unable to offer. Over the last decade, Mr. Bean has attracted and grown a loyal base of dedicated customers that all have one thing in common- a genuine love for coffee.

This is what draws people to Coffeӧl…
an enticing aroma, a welcoming environment and an original, authentic experience that brings customers back to relieve the Joy of Coffeӧl",2001.0,Small,23.0,34391.30434782609
Infinitec,11,information technology & services,Dubai,"consumer electronics, embedded hardware & software, internet tv, social television, television, hardware, social media, information technology, consumer internet, media, internet, product development, innovation, marketing, technology",'+1 785-462-3063,"Google Cloud Hosting, Google Font API, Mobile Friendly, Apache, YouTube, Reviews",4464000.0,"Infinitec is a Modern Developer and Marketeer of Innovative Products and Technologies. 

With an avant-garde vision of the future and a strong focus on simplifying our customers' lives,  we aim to simplify the way you interact in the Digital World.",2008.0,Small,16.0,405818.1818181818
St. Clair Real Estates Broker,49,real estate,Dubai,"real estate brokerage, real estate consultancy, real estate management",'+971 4 454 2751,"GoDaddy Hosting, Apache, Mobile Friendly",1453000.0,"Welcome to St. Clair Real Estates Broker. We pride ourselves on our reputation of being a renowned Real Estate Agency, providing first class service in all aspects of Real Estate Brokerage and Investment Consultancy with extensive contacts based in the UAE. We have extensive experience in residential, commercial and investment opportunities and assists property owners in selling and letting their properties. Additional consultancy services are also offered including sales and marketing and providing value, reliability and satisfaction for our clients.  We take our work and our role in real estate very seriously and endeavour to provide all your real estate needs.

Our office in Dubai is conveniently located at Office 607, Damac Smart Heights, TECOM (Barsha Heights) with Contact No. +971-4-4542751,

We have a team of experienced and motivated employees who are inspired by the company, its aims and its goals. As our aim and objective, we ensure that all aspects of the customer's requirements are managed way beyond their expectations. 

We value our staff at St. Clair and want to ensure that we employ the best people. We look for enthusiastic, flexible team players, who will enjoy the excitement and challenge of new goals in a successful and growing organisation. As a customer focused company, we look for people with passion and enthusiasm for delivering excellent customer service to all our customers.",2006.0,Small,18.0,29653.061224489797
DMTV,22,media production,Dubai,"television, broadcast, production",'+971 4 445 2832,Remote,888000.0,"DMTV, the Arab world's first channel dedicated to men, offers fresh content with a strong focus on men lifestyle and entertainment. DMTV aims to be the reference for men seeking insight into lifestyle matters such as travel, gadgets, fashion, sports, health, fitness, business and entertainment.",2006.0,Small,18.0,40363.63636363636
OffRoad-Zone,19,automotive,Dubai,,'+971 600 563379,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Magento 2 Community, Adobe Marketing Cloud, Media Temple SSL, Google AdWords Conversion, Google Play, Facebook Login (Connect), DoubleClick Conversion, DoubleClick, Mobile Friendly, reCAPTCHA, Google Dynamic Remarketing, Facebook Custom Audiences, Stripe, Bootstrap Framework, Google Analytics, Google Tag Manager, Facebook Widget, Android, Remote, AI, Magento",4936000.0,"OffRoad-Zone (ORZ) was established in January 2002 as a specialist 4×4 garage in Dubai. It is now the leading independent 4×4 garage in the UAE and offers everything you need to keep your 4×4 on (and off) the road:  from service and repair to 4×4 rentals, from performance and off-road modifications to off-road trips and courses and from vehicle registration services to quality vehicles for sale.",2013.0,Small,11.0,259789.47368421053
Tahseen Consulting,10,management consulting,Dubai,,,"Google Font API, Google Analytics, reCAPTCHA, Mobile Friendly, Google Maps, Google Tag Manager, IoT, , Android, Micro, Remote, Reviews, , TikTok, AI, Paytm",547000.0,"Tahseen Consulting is a specialized advisor on strategic and organizational issues focusing on governments, social sector institutions, and corporations in the Arab World. Applying substantive industry knowledge, evidence-based insights, and analytical rigor, we work alongside our clients to help optimize strategic decision-making, solve organizational challenges, and appraise the impact of strategic initiatives.",2012.0,Small,12.0,54700.0
Pixel Digital,86,information technology & services,Dubai,"master managed services, business solutions, enterprise content management solutions, point of sales solutions, erp services & solutions, managed print services, managed document services, backlog services, network, security operation center",'+971 4 454 1629,"Mobile Friendly, YouTube, Bootstrap Framework, Apache",2000000.0,"Pixel Digital Systems LLC, a leading Systems Integrator and Solutions Provider in GCC, proudly presents the ECM/BPM Solutions, a global Enterprise Consulting Company that offers world-class solutions in ECM, BPM, EPM, ERP, High-End Analytics, Digital Reporting and Mobility. 

Pixel offers end-to-end solution on a private & integrated Cloud and customized design-based platform for more than 6500 clients. 

Pixel is a leading Digital Solution Management company, which provides solutions in the areas of Enterprise Content & Business Process Management (BPM), Workflow Management, ERP, Security, Special Print Solution and Performance Printing Solutions, Production, Multi-function Document Production, Colour Solutions and Performance Printing for Pixel also offers end-to-end Enterprise Performance Solutions, ERP Solutions of SAP & Oracle, IBM Cognos EPM Solutions, and Business Process Consulting for M.E. & Africa for Manufacturing, Retail, Healthcare & Life Science, BFSI and Engineering Construction & Operations industry. It will also offer a host of Cloud-based Solutions, Loyalty Applications, and Pixel will offer an entire range of integrated solutions across the GCC markets and specialized Record Management Solutions. 

We've established ourselves as a Turnkey & solutions provider that can be trusted to deliver state of art IT services solution at a fair prices and high end expertise with more than 50 years total of expert staff. 

We are one of the largest and fastest growing IT companies having a global presence, We operate in around M.E., Africa, US, Europe, Asia-Pacific",1996.0,Medium,28.0,23255.81395348837
Medical Village,38,hospital & health care,Dubai,"laser tattoo removal, skin care, surgery using laser, laser hair removal",'+971 4 346 9999,"Gmail, Google Apps, DoubleClick, Google Dynamic Remarketing, Google Tag Manager, reCAPTCHA, DoubleClick Conversion, Mobile Friendly, Google Font API, WordPress.org, YouTube",3268000.0,"Founded by Dr. Hamid Taghaddos in 2004, Medical Village has become a pioneer in providing laser technologies to the UAE market related to Tattoo Removal, Surgery, Skin Care and Hair Removal. 

Medical Village, under the leadership and supervision of Dr. Taghaddos, has become a leading medical center and offers the best and latest  laser medical technologies to its clients. 

Currently,  Medical Village is the First and Only provider of PicoSure Laser for Tattoo Removal and Skin Rejuvenation in the Middle East and North Africa.",2004.0,Small,20.0,86000.0
Jumeira University,57,higher education,Dubai,higher education,'+971 4 515 4555,"Outlook, Microsoft Office 365, Mobile Friendly, AI",3884000.0,,2011.0,Medium,13.0,68140.35087719298
AIMSUAE,20,information technology & services,Dubai,"digital signage, advertising, media, mobile apps, new media, digital marketing, customer engagement experiences, information technology",'+971 4 427 9669,"Gmail, Google Apps, Google Cloud Hosting, DoubleClick Conversion, Mobile Friendly, DoubleClick, Varnish, Google Tag Manager, Google Dynamic Remarketing, Facebook Login (Connect), Facebook Custom Audiences, Wix, Facebook Widget",2710000.0,"AIMS  is the leading digital signage, 3D wayfinding, and interactive customer experience solutions developer in the middle east, with more than 100 successfully delivered projects.

Taking a client's requirement from concept through design all the way to development and monitoring the performance is what we focus on while delivering every project we work on.

Introducing new and creative ideas and methods of implementation enables our clients to reach their objectives, and that is what we aspire for, this allows our clients to realize the return on investment potentials.

We do this by providing a product and services mix that combines Content Management solutions and services.",2009.0,Small,15.0,135500.0
Al Masaood Travel & Services,98,recreational facilities & services,Abu Dhabi,"flight reservations, hotel bookings, holiday packages, local tour packages, logistics",'+971 50 106 2673,"Gmail, Google Apps, Google Cloud Hosting, Mobile Friendly, WordPress.org, Google Maps, Google Analytics, Google Tag Manager, Google Font API, Google Places, Remote",528000.0,"Al Masaood Travel and Services L.L.C. was established in 1969 as ""Gulf Travel & Service Bureau"" and later changed its name to ""Al Masaood Travel & Services"" to bring the company in line with corporate identity of the group. Throughout its history it has always been one of the top travel agents in Abu Dhabi and has recently enjoyed rapid growth, pushing the company into the country's top four by market size.

The company has 3 distinct business units :  

Al Masaood Travel Management provides a worldwide airline ticketing, hotel reservations and car rental service.

Al Masaood Holidays helps clients have the holiday of their dreams, anywhere they choose in the world. The division also has a growing inbound operation, providing tours and excursions within the UAE for overseas tourists as well as providing MICE services for international and local companies.

Al Masaood Logistics is the fastest growing logistics company in the UAE. Our business is the transportation of heavier cargo within the UAE as well the import and export of goods by sea and air, including the handling of customs clearance and other paperwork.

Although very different in the services they provide, the three divisions have one important attribute in common; the trust that we have gained from our clients that comes from offering total dedication to meeting their needs.",1969.0,Medium,55.0,5387.755102040816
IT Max Global,61,information technology & services,Dubai,"it infrastructure solutions, it managed services, cloud enablement, data centre infrastructure, carriergrade telecom infrastructure, telecom security, lawful intercept, fraud prevention",'+971 4 454 1294,"Cloudflare DNS, Constant Contact, Outlook, Mobile Friendly, WordPress.org, Bootstrap Framework, Google Tag Manager, Linkedin Marketing Solutions, reCAPTCHA, Google Font API, IoT, AI",3000000.0,"Welcome to IT Max Global!

IT Max is established as a leading solution provider in the information technology & telecommunication sectors. We focus on the following service areas with world-class expertise and utmost dedication to your business' best interests:

- IT Infrastructure Solutions
- IT Managed Services
- Cloud Enablement and Data Centre Infrastructure (including on-premises, public/private/or hybrid)
- Carrier-grade Telecom Infrastructure, Products and Solutions
- Telecom Security, Lawful Intercept, and Fraud Prevention
 
While we market some solutions globally, our  main focus is the Middle East and Africa market where our brand is well recognized.

Much more than a simple solution or Managed Services Providers, we see ourselves first & foremost as partners in your success. Any decision or recommendation we make is only made after our team has studied the ins-and-outs of its implications on your business. Working with us is akin to adding a world-class CTO, COO, CMO and a squadron of technical experts to your leadership team, who keep your best interest at heart while delivering industry-leading, tailored solutions to address your challenges.",2011.0,Medium,13.0,49180.32786885246
Eden Animation,11,animation,Dubai,"3d animation, animated feature film, tv series, dvd film, animation co production, 2d digital animation",,Amazon AWS,4809000.0,"Eden Animation is one of the fastest growing animation production studios across Europe & Asia. The company is specialized in production of animated audio-visual contents for TV broadcasting and Home Video and Feature film.
Eden Animation has its offices in Dublin (Ireland), Dubai (UAE) and Udaipur (India).
Eden Animation works in different styles of Animation techniques and driven by the ever-evolving trends of the industry Eden Animation produces quality animation contents to cater the world audience.
Eden Animation holds many animated properties original rights along with numbers of co-production projects in shared ownership with other partners.
Eden has an interesting catalog of animated feature films, dvd films and tv series ready for sales.",2008.0,Small,16.0,437181.8181818182
Dubai Garden Centre,34,retail,Dubai,"gardens, furniture, gardening supplies, plants, trees, barbeques, garden centre",'+971 4 590 4333,"Route 53, Amazon AWS, Cedexis Radar, Apache, Google Play, Vimeo, Google Tag Manager, Facebook Custom Audiences, JivoSite, Facebook Widget, DoubleClick Conversion, Adobe Media Optimizer, Google Analytics, Google AdSense, Mobile Friendly, DoubleClick, Bootstrap Framework, reCAPTCHA, Google AdWords Conversion, Google Dynamic Remarketing, Facebook Login (Connect), osCommerce, Remote, AI",3745000.0,"As the heart of sustainable gardening in the Middle East, Dubai Garden Centre (DGC) is committed to promoting green spaces that uplift and inspire. With over two decades of experience, we specialize in providing a sanctuary of lush greenery, innovative gardening solutions, and eco-friendly practices. Our mission is to bring the beauty of nature to your doorstep, making every day greener and more joyful. Join us on our journey to create sustainable and beautiful living spaces for all.",2004.0,Small,20.0,110147.05882352941
Awery Aviation,60,aviation & aerospace,,"enterprise software, general aviation, enterprise resource planning, software, information technology, aviation, online services, corporate websites, aviation solution, erp systems",'+971 50 173 6044,"Route 53, Amazon SES, Gmail, Google Apps, Outlook, Microsoft Office 365, Mixpanel, Hubspot, Atlassian Confluence, AddThis, Google Dynamic Remarketing, Bootstrap Framework, Apache, reCAPTCHA, DoubleClick, DoubleClick Conversion, iTunes, Google Font API, Google Plus, Facebook Widget, Twitter Advertising, Linkedin Marketing Solutions, YouTube, Mobile Friendly, Facebook Custom Audiences, Google Tag Manager, Google Analytics, Facebook Login (Connect), WordPress.org, Android, Basis, Remote, Flutter, Intuit, Data Storage, Micro, Render, ADP, Snowflake, GitLab, Vincere, TikTok, Reviews, Toast, , Circle, Python, IoT, AI, Deel, Canva, SAP, Data Analytics, Monday.com, , Algolia",5000000.0,"Awery offers leading ecosystem of cloud-based ERP, CRM and mobile apps to completely and holistically manage aviation and logistics companies.
 
From operations to sales & bookings, from planning & control to managerial & financial accounting. Fully scalable, with workflow management, document control and connectivity",2009.0,Medium,15.0,83333.33333333333
Light House Studio Dubai,16,media production,Dubai,"workshops in dubai & family, baby portraits",'+971 4 341 9697,"Gmail, Google Apps, GoDaddy Hosting, Google Tag Manager, jPlayer, WordPress.org, Mobile Friendly, Google Font API, Vimeo, YouTube, reCAPTCHA, Apache, Woo Commerce, Remote, Basis, PEO",4967000.0,"A leading photo and film production company based in Dubai, UAE. Including Studio and Equipment Rentals. 

3 Studios including Daylight, Kitchen, Sound Proof, Chroma, Podcast and Set Designs. We have FREE High Speed WIFI, Coffee/Tea, Water Stations and Parking available at our studios.

We are equipped with state of the art creative spaces that cater for both photography and video productions, with dressing rooms, makeup areas, kitchenette and bathrooms. 

We also have a dedicated team to manage Live Productions, from Live Streaming, Broadcasting, and A/V.

Other products and services we offer: 

Studio rentals,  Equipment rentals, Drone/Aerial Services, Pre and Post Production, Scouting, Location Managing and Permits, Casting, Crew, Accommodation, Transport, Props, Model/Talent bookings. 

Production Services: 

Corporate, Commercial & Product photography, Fashion & Beauty, Food photography, Family/baby portraits, Automotive photography, Interior/Exterior photography for both residential and corporate, Model portraits, stock photography, E-comm and many more.",2011.0,Small,13.0,310437.5
Algedra,59,design,Dubai,,'+971 52 811 1106,"Rackspace Email, Bootstrap Framework, DoubleClick Conversion, Facebook Widget, YouTube, Cloudinary, DoubleClick, Mobile Friendly, Facebook Custom Audiences, Google Font API, Google Dynamic Remarketing, Google Tag Manager, Facebook Login (Connect), Nginx, Google Analytics",4816000.0,"We are one of the most creative and effective interior design companies in the Middle East. ALGEDRA Interior Design is specialized in providing extremely excellent interior design services that combine creative space planning, designing, and project management for both residential and elegant commercial projects.

Our people come from a variety of backgrounds, cultures, and places. From seasoned professionals to emerging talents, we are united by a singular passion to create designs that work.
We are a global team with local understanding. 

We aim to build lasting relationships with ALGERDA's clients through strong communication and hard work. ALGEDRA has impressed the middle east with innovative designs and ideas by creating a perfect combination of the customer's style and our expert designers in order to have extraordinary and unique solutions. ALGEDRA has combined Eastern and Western cultures by combining Greek architectural art and Italian style along with British innovation.",2013.0,Medium,11.0,81627.1186440678
ALWAYS-PROPERTY,22,real estate,Dubai,"real estate dubai, property consulting, property brokers, property investment, property management, property renting, property selling, property buying",'+971 4 452 2267,"Zopim, Microsoft-IIS, Mobile Friendly, Google AdSense, Bootstrap Framework, Nginx, ASP.NET, DoubleClick",4357000.0,"Always Property 

is a leading real estate company based in Dubai. Our service to all its clients to ensure that you receive the best professional advice and guidance in making one of the biggest decisions in your life. Our main focus is Residential and Commercial Sales and Leasing.
Whether you need to find suitable rental properties in Dubai or want to purchase a home or attractive investment, Always Property are always at your service. We are confident that we can assist you in making your dreams come true. We will deal with your needs in a professional, warm and friendly manner whilst ensuring transparency and good business ethics.

Always Property is a sister company of Al Bandary Group organized under the laws of Qatar. Since its formation in 2005, the company has strived to create, restructure and manage a group of investments in the real estate sector. The company, which is a member of Al Bandary International Group, is established based on the framework of the country's strategic plan to diversify the sources of income as well as its sustained policy of encouraging the private sector in Qatar by participating in the construction and management of real estate projects. Al Bandary Real Estate wants to be the leader in providing affordable housing to families with quality dwelling units at affordable prices throughout the GCC region.",2012.0,Small,12.0,198045.45454545456
Bin Aweidha Group,63,retail,Abu Dhabi,"real estate private administration, international broker, construction, newspaper, published, hospitals supplies, education, travel, tourism, information technology, hvac, printing press, office systems & furniture, distribution",,"Outlook, Microsoft Office 365, SAP, Remote, AI",610000.0,"Bin Aweidha Group (BAG) was established in 1958. It was established as a fast growing entrepreneurial business organization, and the export of oil from UAE in 1962 improved business environment, facilitated and gave BAG a chance to grow and expand faster.  

Today, BAG stands as one of the prominent business organizations in UAE, with business activities ranging from the commercial sector, which appeared in the 1960s, to printing and publishing, distribution and advertisement, oil services, banking and insurance in the 1970s. In the 1980s and the 90s the company expanded further in construction, finance, investment, industrial, travel and tourism and real estate activities, with significant presence in information technology.

On December 2, 1971, the seven emirates became independent as the United Arab Emirates. The President, His Highness Sheikh Zayed Bin Sultan Al Nahyan, has devoted much of his attention in the intervening years to the development of the federation of the United Arab Emirates. Each of the emirates has its own ruler; and they all together comprise the highest body of the federal government, the Supreme Council of Rulers. The council elects from its members a president and vice president. A Prime Minister and a 40 member consultative assembly called the Federal National Council also governs the federation.",1958.0,Medium,66.0,9682.539682539682
Group Seven Properties,27,real estate,Dubai,"commercial & residential property sales, commercial & residential property rental, warehouses specialists, labor camps & staff accommodation specialists, property management, dubai property launches, investment opportunities, land sales, open house",'+971 4 363 9777,"Apache, Bootstrap Framework, Google Analytics, Google Maps (Non Paid Users), Facebook Widget, Google Tag Manager, Google Font API, Google Maps, Nginx, Facebook Custom Audiences, DoubleClick Conversion, Facebook Login (Connect), Google Dynamic Remarketing, DoubleClick, Mobile Friendly, reCAPTCHA, Remote",3000000.0,"Group Seven Properties LLC is one of the leading real estate management companies in the Dubai property market and was established since 2005. The Groups divisions span a complete and comprehensive range of services, from Property Consultancy, Residential Sales and Leases, Commercial Real Estate, Property Management of both restricted and non-restricted freehold properties, and Portfolio Management.

Group Seven Properties LLC is one of the few independent real estate companies bearing the real estate license, in line with the Dubai Municipality Economic Department requirements and registered by the Real Estate Regulatory Authority (RERA) of the Dubai Land Department. Our corporate philosophy has always been to work towards long-term relationships with our clients through our expertise and local market knowledge based on over 30 years of international experience in mature as well as emerging markets in North America and the Middle East. Believing in people more than in checklists, we put a great deal of attention to continuous training and our hand-picked, experienced international staff will be able to consult our clients and assist with all their requirements in 12 languages.

The firm successfully manages the Real Estate Portfolios of International institutional and Private Investors, large Family Businesses, end users and property owners in Dubai and the UAE. Our satisfied and long-term clients include some of the leading companies in the banking, engineering, oil and gas, construction, hospitality and automotive industries.

For more information or to arrange a viewing, please call us now on +971 4 363 9777 or email us at contact[@]group7properties.com. Visit our website at www.group7properties.com for our complete portfolio of available properties.

For more information about our portfolio of rental properties please visit also our rental page at www.myDubaiRent.com.",2003.0,Small,21.0,111111.11111111111
Nasser Air Travel & Shipping Agencies,25,"leisure, travel & tourism",Dubai,"corporate travel management, leisure travel, mice arrangements, tailor made travel support, 24, 7 & 365 day support, global travel management services, travel ancillaries, holiday packages, visa services",'+971 4 221 4455,"Outlook, WordPress.org, Mobile Friendly, Google Font API, Apache",599000.0,"Part of the 40-year-old Nasser Abdullah Lootah Group (www.nalg.com), Nasser Air Travel & Shipping Agencies (www.nasa-travel.ae ) is one of the oldest travel agencies in the UAE, has opened its doors back in 1976, it has played a highly instrumental role in the development of Dubai's travel industry right from the early days.

Nasser Air Travel & Shipping Agencies, is a full-service travel management company, specializing in managing the corporate travel needs of companies on a local, regional and global level. With its global reach and local expertise, we at Nasser Air Travel specialize in managing the diverse and changing travel needs of corporate customers locally, regionally, and globally. We manage corporate travel for our clients with maximum efficiency, savings, and personalized service, using the latest in travel technology. 

The mission of Nasser Air Travel & Shipping Agencies is to be the leading and most dependable travel management company in the world that sets the standard for professionalism and reliability to its customers.",1976.0,Small,48.0,23960.0
Glee Hospitality Solutions,54,hospitality,Dubai,"restaurant consulting, restaurant equipment sourcing, restaurant operating, restaurant concept creation, menu development, restaurant preopening, restaurant management, restaurant consultancy services, interior design, branding, restaurant finance, hiring, restaurant fit out, restaurant concept development, restaurant concept implementation, restaurant operations",'+971 52 913 6253,"Outlook, Google Cloud Hosting, Google Dynamic Remarketing, Google AdWords Conversion, Cedexis Radar, Adobe Media Optimizer, Google AdSense, Stripe, Wix, Mobile Friendly, Facebook Custom Audiences, Vimeo, Varnish, DoubleClick Conversion, DoubleClick, Facebook Login (Connect), Facebook Widget, Google Tag Manager",4888000.0,,2010.0,Medium,14.0,90518.51851851853
Montreal International Clinics,15,hospital & health care,Dubai,"dental clinic, dermatology clinic, neurospinal clinic, cosmetic clinic",'+971 4 344 1132,"Cloudflare DNS, CloudFlare Hosting, reCAPTCHA, Google Tag Manager, Google Analytics, WordPress.org, YouTube, Google Dynamic Remarketing, Google AdWords Conversion, DoubleClick, Vimeo, Mobile Friendly, Google Font API, DoubleClick Conversion, IoT, QuickBooks, AI, , SharePoint, Flutter, Android, TikTok, Python, Node.js",1527000.0,"Canadian leader in health care, Montreal International Clinics opens our door in Dubai to provide you the best Dental, Neurospinal, Dermatology and Cosmetic treatments. All our Doctors are among the top in their fields and have been practicing at the highest levels internationally for years. By combining their experience with the latest technologies and the best patient care staff in Dubai to be the best in Medical Care.",2012.0,Small,12.0,101800.0
OBE Architects,40,architecture & planning,دبي,"architectural design, consultancy, project management, construction supervision, planning & budgeting",'+971 4 370 7171,"Google Maps (Non Paid Users), Google Tag Manager, Bootstrap Framework, Google Maps, Mobile Friendly, Apache, Varnish",2005000.0,"In 1997, the ambitious idea of establishing a UAE local homegrown Architectural Consultancy firm was born, with only one employee for office support, Engineer Architect OMAR BIN EID started his small office and consultancy license in Dubai, and began gathering his market data and started to approach
prospective clients himself.

After 15 years of regional market experience, OBE Architects is now an established local and regional Architectural Firm, with an Unlimited License to handle any size structures, and full In-House team to handle all Architectural, Structural, MEP, and Interior Design and Consultancy.

With over 200 completed or in-process projects, OBE Architects' highly diversified projects including commercial buildings, industrial buildings, and structures, residential buildings, hotels, educational, private villas and houses, cultural and religious, several of which include the financial feasibility study as part of the project.

OBE Architects offers a comprehensive architecture design and consultancy solution, to give the client peace of mind by offering multiple solutions through a One Stop Shop while reducing the risk of miscommunication between different entities. 

With a fully dedicated team of Architects, Structural Engineers, Civil Engineers, MEP Engineers, and Interior Designers, plus complete office management and project management teams, OBE Architects can handle any project, of any size.

OBE Architects also collaborates with other international firms and different governmental and nongovernmental
entities to enrich and strengthen each project, with a full commitment to design
excellence and client service.",1997.0,Small,27.0,50125.0
Taswiyeh,17,alternative dispute resolution,Dubai,"alternative dispute reolution, conflict management sercives, accounts receivable management, project management, debt collection, business loss recovery, legal services, mediation, negotiation, financial settlements",'+971 4 331 2222,"Gmail, Google Apps, Google Tag Manager, Mobile Friendly, WordPress.org, Google Font API, Apache, Google Analytics",4497000.0,"Taswiyeh is a well-entrenched Conflict Management and Dispute Resolution Service firm in UAE.  We strongly believe that ‘Time is of the essence"" thus provide reliable, timely and efficient services to our clients. 

Moreover, Taswiyeh is committed to provide finest and most comprehensive debt recovery services through conciliation and mediation. We not only assist our clients to unravel challenging industrial and commercial deadlocks but guarantee 100% success as Customer Satisfaction is the fundamental aspect in our work culture. We are proud to share that we are market leader when it comes to resolving financial disputes and leave no stone unturned to keep the client gratified and happy. 

Last but not the least, we believe in highest ethical and professional standards.

MISSION: To enrich the Taswiyeh dispute-resolution culture and spread this ideology by networking through participating in seminars, workshops and training programs.",2012.0,Small,12.0,264529.4117647059
Core Metallic Ind,58,construction,Sharjah,,'+971 6 501 3111,"Outlook, Mobile Friendly, WordPress.org, reCAPTCHA, Woo Commerce, Apache, Google Font API",3545000.0,"Coremetal Group is a leading UAE based integrated multi-disciplinary Construction & Industrial group employing over 1000 people across its operations in the UAE. For more than 15 Years, Coremetal has built a solid reputation in the Industrial market with an admirable track record of sustained growth and for delivering quality projects on time in both private and government sectors. The company has a large team of top notch technical experts, specialized project management teams, a skilled multinational workforce and state-of-the-art technology along with an array of the latest sophisticated plants and machinery to ensure timely and successful completion of all projects. Coremetal Group is horizontally integrated, and in addition to its core competence in construction, the Group has its strengths and competitive advantage by setting up group companies in allied sectors like Structural Steel, Metal Processing , Expanded Metal manufacturing, Machine Shop, Tube mills Manufacturing, Space Frames, Manufacturing and trading of disposable food packing items , Metal coating & Painting",2007.0,Medium,17.0,61120.68965517241
Auto Assist Car Rental & Limousine,36,automotive,Dubai,"car rental, limousine, car hire, leasing",'+971 4 337 7877,"Cloudflare DNS, Outlook, Microsoft Azure Hosting, Bootstrap Framework, WordPress.org, Apache, Google Font API, Google Tag Manager, Facebook Login (Connect), Woo Commerce, Mobile Friendly, Facebook Widget, Facebook Custom Audiences, reCAPTCHA, Reviews",3466000.0,", AUTO ASSIST Rent A Car &AUTO ASSIST limousine, A renowned name for prestigious & luxuries car rental and transportation company, established in Dubai as one of the leading service provider for last one decade.

Auto Assist Limousine 
A division of our company specially provides chauffeur driven services by well trained and good attired drivers. Our drivers are well versed with Dubai, Sharjah, and Abu Dhabi and Al Ain roads. Under this wing we provide a reliable, convenient and secure service to our customers to ensure a safer journey in the comfort of their own car, of course they are highly competent and reliable chauffeurs.
We have made a reputation in the market through our standard services and professional approach by satisfying all walk-in customers, important personalities, corporation, Government bodies, Associations, consulate offices and clubs. Thus we are recognized as a company for the outstanding services and capabilities.

Our Services.

	Free pick up & delivery with in Dubai
	Free Baby Seat 
	Wide selection of cars with latest models
	24 hr transportation facilities
	GPS
	Car Cooler
	All our cars are fully insured.
	Limousine services and Chauffeur drive
	Free maintenance
	No finance or hidden costs
Our Office and branches: 

Al Karama: 
Dubai Media City: 
Dubai Marina Branch 1:  Sheraton Jumeira Beach resorts & towers 
Dubai Marina Branch 2:  hawthorn suites by wyndham dubai

Auto Assist car rental & limousine
T                :  00971 4 33 77 8 77  

Email         :  manager@aa-rentacar.com
Website     :   www.aa-rentacar.com
Face Book :   autoassistrac
Twitter        :  AutoAssistrent
BB               :  7666EC9D",1998.0,Small,26.0,96277.77777777778
Pan Cyber Information Technology,19,information technology & services,Dubai,,'+971 4 337 7033,"Blue Host, Mobile Friendly, Apache, IoT, Remote",775000.0,"Pan Cyber is a progressive software company providing total Information Technology solutions to diverse business environments. Established in 1997 and headquartered in Dubai , Pan Cyber is part of a large multinational group and has a large offshore development facility at Chennai , India along with associate offices in USA and Singapore .  

Since inception, Pan Cyber has been committed to total client satisfaction through quality service, coupled with on-time support and strongly believes in its corporate philosophy - ""Responsible Relationships"" which helps it to offer solutions that maximizes value for its customers.",1999.0,Small,25.0,40789.47368421053
Humming Crowd Realty,40,,,,,"Apache, Google Font API, JQuery 1.11.1, WordPress.org, Linkedin Widget, Google translate widget, Google translate API, Linkedin Login, Mobile Friendly, Nginx",746000.0,,2013.0,Small,11.0,18650.0
Ottomans International,17,information technology & services,Dubai,"information technology, services, networking, cloud computing, cctv solutions, hrms, time & attendance solutions, annual maintenance contracts, aruba wireless, servers & storage",'+971 4 436 2699,"Render, AI, Remote",2400000.0,"We at Ottomans International believe in our core value of ""commit and deliver"". Our experienced team combines entrepreneurial spirit and deep understanding of Information Technology.
The group has grown steadfastly and conscientiously over the last four years with their increase range of businesses and care for the community.
Founded and headquartered in Dubai, UAE. Having a reliable team of professionals, efficient, and dedicated staff and a wide-ranging, functional distribution network, Ottomans manages to execute its operations all over GCC efficiently.

At Ottomans International Technologies, we are committed to service before and after sales of our products and solutions.
It is our endeavor to create a culture of Total Quality where continuous improvement of our people, our processes and our products become a way of life.
We constantly update our system to utilize state of the art technology available to achieve our goals. Apart from educating our staff on the emerging technologies, we also keep our customers updated on the latest technologies to improve their business environment, which is the core part of our business.

Our customers are our strategic partners with whom we work closely to seek solutions which will add value to their own products, systems and reputations. Their problems are our challenges, for which we are eager to offer innovative, cost-effective & reliable products and solutions, fully fit for the purpose intended, without compromising on quality at any stage.",2011.0,Small,13.0,141176.4705882353
