Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At, Annual Revenue ,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
SCOPE Middle East,SCOPE Middle East,Cold,,81,information technology & services,abdullahshami97@gmail.com,http://www.scopeme.com,http://www.linkedin.com/company/scope-middle-east,https://www.facebook.com/scope.middleeast,https://twitter.com/scopeme,Sheikh Mohammed Bin Zayed Road (E311 Road),Dubai,Dubai,United Arab Emirates,,"Sheikh Mohammed Bin Zayed Road (E311 Road), Dubai, Dubai, United Arab Emirates","enterprise it security, networking, enterprise mobility, next generation firewall, cloud web security, identity management, industrial cybersecurity, data security, end point security, distribution, network security, penetration testing, wireless solutions, value added distributor, web application firewall, cloud security, saas, public cloud, private cloud, draas, mobile device management, industrial security, scada",'+971 4 382 1200,"SCOPE Middle East is a Value Add Distributor in Middle East and Africa specialized in best of breed Cybersecurity, Networking Performance and Cloud Solutions.","Outlook, GoDaddy Hosting, Mobile Friendly, Google Font API, WordPress.org, Google Analytics, Apache, Google Tag Manager",,,,,4500000.00,,66dbffc11be2b000011d3ee8,7371,"SCOPE Middle East is an award winning specialty value-added distributor providing advanced network performance and security solutions in the Middle East & North Africa Region. 

SCOPE ME has business units around Middle East and GCC countries with significant sales channels for Symantec, Kaspersky Lab, NETSCOUT, Ruckus Networks, Soti, Stormshield, HID Global, Nomadix & Wallarm.

Our highly qualified staff, with a portfolio of best products, services and solutions from highly reputed industries assists you in various fields such as technical expertise, network design, sales consultancy, as well as logistics services and marketing ventures. 
We provide our vendors and channel partners with engineers, sales consultants, logistics and integrated marketing services so that they can design optimised IT solutions.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66cdf5f31a657f00017888a8/picture,,,,
Gadgitech ME,Gadgitech ME,Cold,,19,wholesale,abdullahshami97@gmail.com,http://www.gadgitechme.com,http://www.linkedin.com/company/gadgitech-me-jlt,https://facebook.com/Gadgitechme,https://twitter.com/gadgitechme,مجمع أكس,Dubai,Dubai,United Arab Emirates,,"مجمع أكس, Dubai, Dubai, United Arab Emirates","wholesale, distribution, retail distribution, brand management",,,,,,,,2672000.00,,66dbffc11be2b000011d3eea,,"Gadgitech is a distribution company based in Dubai, UAE and having offices and warehousing facilities in Saudi Arabia, Kuwait, Bahrain and Lebanon.  Our emphasis in on distribution of IT Accessories and Smart Gadgets to the different market channels and especially catering for Apple Premium Resellers and Power Retailers in the Region.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/668fef9a87a230000182c0b1/picture,,,,
Serene Investments Group,Serene Investments Group,Cold,,12,management consulting,abdullahshami97@gmail.com,http://www.sereneim.com,http://www.linkedin.com/company/serene-investments-group,,,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","business setup, business services, office solutions, serviced offices",'+1 415-323-0185,"Lower Middle Market Special Situations Lending based in San Francisco, California. Specializing in Venture Debt, Debtor in Possession and other financing.","Sendgrid, Gmail, Google Apps, Google Tag Manager, Apache, Mobile Friendly, WordPress.org, SAP, Data Storage, Remote, Circle",,,,,3400000.00,,66dbffc11be2b000011d3ef2,,Serene Group is a well-established business services company in Dubai. We provide professional solutions for all your business related needs starting from business formations to advisory and corporate services.  We can help you start up your business in Dubai and make your business vision a success. Serene Group prides in its strong relationship and extensive experience with the UAE Government Departments. We have an extremely professional code of practice when setting up your new Company.,2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6696591c8388960001d96612/picture,,,,
Tad Network,Tad Network,Cold,,100,marketing & advertising,abdullahshami97@gmail.com,http://www.tadgulf.com,http://www.linkedin.com/company/tad-network,https://facebook.com/pages/TAD-Network/225100354192484,https://twitter.com/TADNetwork1,1 بوليفارد الشيخ محمد بن راشد,Dubai,Dubai,United Arab Emirates,,"1 بوليفارد الشيخ محمد بن راشد, Dubai, Dubai, United Arab Emirates","sales promotions, merchandising, instore display, corporate gifts, premiums, advertising, print material, event management, photography & videography",'+971 4 445 8254,"TadGulf is the leading Events and Promotions Company in UAE. Our advertising agency caters to events and promotions in UAE, Kuwait, Oman & other GCC.","Outlook, Microsoft Office 365, Vimeo, Google Tag Manager, reCAPTCHA, Nginx, Google Analytics, Adobe Media Optimizer, Cedexis Radar, Mobile Friendly, Google Font API, WordPress.org",,,,,516000.00,,66dbffc11be2b000011d3efc,,"Tad Network is a below-the-line advertising agency with a decade of experience in the GCC market. We cover the region, with offices in the UAE, Kuwait and Oman and we operate through partners in Saudi Arabia, Bahrain and Qatar. Tad works with a select group of multinational clients, promoting some of the best-known global brands to discerning consumers. We are experts in Sales Promotion Activities, Merchandising & In-store Display, Corporate Gifts and Premiums, Advertising and Print Material, Event Management and more. 

We believe in taking your brand directly to the consumer and champion the power of real social engagement; in stores, in malls and out on the street where it matters.

With some of the world's biggest brands depending on us, our professional team is constantly pushing boundaries to dream up viable ideas that work. 

For more information, visit our website www.tadgulf.com",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c705fb9e91230001d5132e/picture,,,,
Coral Shore Real Estate Brokers,Coral Shore Real Estate Brokers,Cold,,14,real estate,abdullahshami97@gmail.com,http://www.coralshoredubai.com,http://www.linkedin.com/company/coral-shore-real-estate-brokers,https://www.facebook.com/coralshoreofficial,https://twitter.com/coralshoredubai,شارع الشيخ زايد,Dubai,Dubai,United Arab Emirates,,"شارع الشيخ زايد, Dubai, Dubai, United Arab Emirates","buying, selling, leasing, renting, property management, real estate advise, portfolio management, advisory service, real estate in dubai",'+971 55 859 4535,,"ElasticEmail, SparkPost, Gmail, Google Apps, Facebook Login (Connect), Nginx, Google Font API, Vimeo, Google Maps, Mobile Friendly, WordPress.org, reCAPTCHA, Adobe Media Optimizer, Google Maps (Non Paid Users), Cedexis Radar, Google Tag Manager, Facebook Widget, AI, Stamped",,,,,1414000.00,,66dbffc11be2b000011d3f00,,"Dubai Property search has been made easy at your convenience with Coral Shore Real Estate Brokers. Buy, Sell, Sale, Rent Property in Dubai with Coral Shore Real Estate Brokers. We are specialist in real estate properties in Dubai and UAE. Property Management of Properties in Dubai are our other main services provided. We help owners in selling, leasing and managing thier properties in Dubai. 
We have a large database of direct Dubai properties within the UAE. Buying Dubai property, UAE real estate Dubai and Dubai Villas has never been easier and if you are planning to invest in Dubai property, consider Coral Shore because no one understands property better than us.

Coral Shore Real Estate had made it easy for overseas clients from UK and India by opening a Branch office in these locations.

Please contact us on
Dubai Office:
Mobile: 0585919496
Tel: 04 3885866
Email: info@coralshoredubai.com
Web: www.coralshoredubai.com

India Office:
Mobile: 00919912641692
Email: info@coralshoreindia.com
Web: www.coralshoreindia.com

UK Office:
Mobile: 00447435487233
Web: www.coralshoreuk.com

We are specialized in Selling, Buying, Leasing, Renting, Investments and Property Management.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d40bedbed7d70001398f13/picture,,,,
CEDARS Jebel Ali International Hospital and Clinic,CEDARS Jebel Ali International Hospital and Clinic,Cold,,64,hospital & health care,abdullahshami97@gmail.com,http://www.cedars-jaih.com,http://www.linkedin.com/company/cedars-hospital,https://facebook.com/CEDARSJAIH,https://twitter.com/CEDARSHospital,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","general surgery, laboratory, pathology, general medicine, orthopedics, traumatology, occupational health, radiology, ent, pediatrics, first aid training, pharmacy, gastroenterology, physiotherapy, life support, dental, orthodontics",'+971 4 881 4000,,Remote,,,,,1334000.00,,66dbffc11be2b000011d3f48,"8000, 8060","Established in 1999, CEDARS – Jebel Ali International Hospital is a full-fledged multi-specialty hospital offering services ranging from Pediatrics to Occupational Health, Laparoscopic Surgery to Internal Medicine. The Hospital is equipped with ICU for medical and surgical emergencies, with two major and one minor operation theatres as well as with fully equipped Laboratory and Radiology departments. 

The CEDARS Training Center is a registered training provider with qualified and dedicated instructors offering a wide range of courses for both individuals and companies. The training center is committed to improving health and safety at home, at any public place or in the workplace providing classes in Basic First Aid and Basic Life Support through an alignment with the American Hospital Dubai, an American Heart Association (AHA) International Training Center.

Further attached to the hospital are the 24-hour-pharmacy, the CEDARS Clinic and Dr. Adnan Kaddaha Clinic, opening soon in Dubai Motor City. Projects to expand the hospital structure and add more services that enable CEDARS Jebel Ali International Hospital to become a comprehensive healthcare provider are under way. 

www.cedars-jaih.com",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66cfd45d1d188500019cbb49/picture,,,,
ARK-Solutions,ARK-Solutions,Cold,,14,information technology & services,abdullahshami97@gmail.com,http://www.ark-sol.com,http://www.linkedin.com/company/ark-solutions,https://facebook.com/arksolution,https://twitter.com/Arksols,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","mobile applications development, custom software develpoment, managed network services, resource outsourcing",'+971 4 374 5272,,,,,,,3196000.00,,66dbffc11be2b000011d3f50,,"Ark-Solutions empowers organizations to take full advantage of modern mobility. We provide two things, expertise to help make the right decisions about where to invest in mobile, and the ability to execute flawlessly with award-winning design, engineering, and project management resources.

We understand that our success in the market depends upon your success. So, we work with full dedication and are aimed at delivering you high end product every time you approach us. Customer satisfaction is our top priority and our commitment towards quality is simply unrivaled
Mobile Application Development

The Ark-Solutions mobile application developers are in the latest trends in iPhone, Android, iPad, BlackBerry and WM application development. The secret is that the Ark-Solutions mobile application developers combine top-flight programming and inventive skills with creativity and a true commitment to our customers.
* Mobile client software.
* Productivity apps, utilities and solutions.
* Mobile Web Application.
* Business software and solutions for iPhone, Android, iPad, BlackBerry and WM.
* Games and multimedia apps.
* Internet apps.
* Porting web applications to mobile platform.
* And other iPhone, Android, iPad, BlackBerry and Windows Mobile solutions which will bring boost to your business.
Our creative team begins with a solid base by building custom specification documents leveraging our creativity, market research, strategic planning and knowledge of the marketplace.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/669c6bf31c13170001be01bc/picture,,,,
Manteq Systems & Information Technology,Manteq Systems & Information Technology,Cold,,30,information technology & services,abdullahshami97@gmail.com,http://www.manteq-me.com,http://www.linkedin.com/company/manteq-systems,https://facebook.com/manteq.systems,https://twitter.com/ManteqSystem,شارع الأبراج,Dubai,Dubai,United Arab Emirates,,"شارع الأبراج, Dubai, Dubai, United Arab Emirates","health care solutions, revenue cycle management, software development, business intelligence",'+971 4 368 8081,We take pride in being one of the first UAE companies to develop comprehensive solutions tailored for the GCC healthcare industry.,"Route 53, Outlook, Amazon AWS, Mobile Friendly, WordPress.org, Android, Python, Flutter, Remote, AI",,,,,2000000.00,,66dbffc11be2b000011d3f57,,"We are a specialized IT company focusing on developing and integrating unique solutions and services addressing healthcare business requirements. 

Our Team is based in Dubai, UAE with a highly experience and rich knowledge in the healthcare IT and insurance sectors. 

Solutions and Services:

Manteq Systems enables hospitals, clinics and practices to automate the key processes and enhance the patient journey along with patient and clinical safety.  We have a highly successful track record of implementing our solutions in the region with a good base of satisfied clients.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                

Our Solutions and services are including but not limited to:

Healthcare Revenue Cycle Management System.
RCM Business Intelligence.
Clinical Management System.
System Integration.
Data Migration and Cleansing.
Support and Implementation Services.",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c43203c41335000106366d/picture,,,,
SpiralClick Web Technologies,SpiralClick Web,Cold,,17,information technology & services,abdullahshami97@gmail.com,http://www.spiralclick.com,http://www.linkedin.com/company/spiralclick-web-technologies,https://www.facebook.com/spiralclick,https://twitter.com/spiralclick,برشا هايتس,Dubai,Dubai,United Arab Emirates,,"برشا هايتس, Dubai, Dubai, United Arab Emirates","web design, web development, mobile application development, seo services, emarketing solutions, ecommerce solutions, business intelligence, creative design, marketing support, website hosting soutions, digital transformation solutions",'+971 55 134 5683,"SpiralClick: a web design and development company based in Dubai that develops result-driven websites, mobile apps & web applications for clients worldwide.","Cloudflare DNS, Amazon SES, Gmail, Google Apps, CloudFlare Hosting, Google Analytics, Mobile Friendly, Pure Chat, reCAPTCHA, Google Tag Manager, Basis, Canva",,,,,671000.00,,66dbffc11be2b000011d3f5d,"7372, 7371","SpiralClick delivers marketing expertise, custom cloud-based software solutions and exceptional creative talent in combination with our business experience in the Middle East region. 

SpiralClick is a boutique agency offering affordable creative services specialising in:

	•	Digital Transformation solutions
	•	Web and mobile application (iOS & Android) development
	•	Search Engine Optimisation (SEO)
	•	Lead generation on Google (SEO and Adwords)
	•	Web Hosting solutions

We are a team of former multinational agency talents believing it's not the size of an agency, but rather the know-how mixed with the personal attention partners deserve.

For more information, please visit our website https://spiralclick.com",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ccc176963afd0001df60bf/picture,,,,
Destinations of the World News,Destinations of the World News,Cold,,10,publishing,abdullahshami97@gmail.com,http://www.dotwnews.com,http://www.linkedin.com/company/destinations-of-the-world-news,https://facebook.com/DOTWNewsmagazine,https://twitter.com/dotw_news,شارع الملك سلمان بن عبد العزيز آل سعود,Dubai,Dubai,United Arab Emirates,,"شارع الملك سلمان بن عبد العزيز آل سعود, Dubai, Dubai, United Arab Emirates","luxury travel, luxury magazine, luxury lifestyle",,"The latest travel intelligence on the world's most luxurious hotels, destinations and restaurants to the best in style and accessories to cars and beyond
​","Cloudflare DNS, Sendgrid, Gmail, Google Apps, CloudFlare Hosting, reCAPTCHA, Facebook Custom Audiences, Google Font API, StatCounter, Google Tag Manager, Facebook Login (Connect), Mobile Friendly, Google Play, Facebook Widget, Semrush",,,,,3177000.00,,66dbffc11be2b000011d3f5f,2741,"Destinations of the World News is the Middle East's leading luxury travel magazine, covering everything from hotels and resorts in the world's most breathtaking destinations to the latest supercars, private jets and superyachts. 

Through our unique distribution in First and Business Class airport lounges and some of the world's top hotels, we talk directly to affluent travellers who shape new trends in the world of luxury travel.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6690cdeb3dd99b0001c4c3f3/picture,,,,
Union Square House Real Estate Broker LLC,Union Square House Real Estate Broker,Cold,,91,real estate,abdullahshami97@gmail.com,http://www.ushre.com,http://www.linkedin.com/company/union-square-house-real-estate-brokers,https://www.facebook.com/ushreb,https://twitter.com/ushreb,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","property buying, property selling, property renting, leasing, property marketing, dubai real estate, dubai property investment, dubai property management",'+971 4 458 9090,"Multi-Award Winning Real Estate in Dubai. Top Real Estate Agency for Emaar, Meraas, Dubai Holding, Nshama, Damac & Majid Al Futtaim.","Cloudflare DNS, Outlook, DigitalOcean, Google Tag Manager, Mobile Friendly, Nginx, Cloudinary, Google Analytics, Remote",,,,,2248000.00,,66dbffc11be2b000011d3f67,,"A real estate advisory firm committed to helping investors and residents make the right decision when it comes to buying a property in Dubai. Over the years, we have helped thousands of property buyers swiftly navigate through to the right investment opportunity, time and again. It's the reason why we have a huge number of longstanding clients.

At USHRE, we cater to a wide range of real estate needs. Whether you're looking to invest in a home that suits your tastes and financial goals or a discerned homeowner looking to, we have the framework required to bring your dreams to reality. 

Our professional team of agents have been trained to deliver sound advice and guidance to clients as well as prospects. We have developed a multi-lingual, multi-cultural team of agents specializing in every other freehold area in Dubai.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d79418cb640600013244a5/picture,,,,
We Simplify the Internet,We Simplify the Internet,Cold,,44,,abdullahshami97@gmail.com,,,https://facebook.com/wsiDigitalHub,https://twitter.com/wsidubai,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,'+971 4 364 4593,"Web Design Dubai – WSI Website Design Services location in Dubai, UAE and all the other Emirates and GCC. We specialized in Website Design, E-commerce, SEO (Search Engine Optimization), Website Hosting, Internet Marketing, E-Marketing and Online Marketing.","Cloudflare DNS, Gmail, Google Apps, Apache",,,,,4247000.00,,66dbffc11be2b000011d3f73,7310,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/60b3cf325121c1000139e6e5/picture,,,,
Hi Foods General Trading Llc,Hi Foods General Trading,Cold,,32,,abdullahshami97@gmail.com,,,https://facebook.com/hifoodsuae,https://twitter.com/HiFoodsGeneral,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,'+971 4 882 9660,,"Liquidweb, Bootstrap Framework, Google Maps, Apache, Mobile Friendly, Google Maps (Non Paid Users)",,,,,3554000.00,,66dbffc11be2b000011d3fb3,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/605d792b9012c800017bc07a/picture,,,,
Pure Chiropractic and Physiotherapy Centres,Pure Chiropractic and Physiotherapy Centres,Cold,,19,"health, wellness & fitness",abdullahshami97@gmail.com,http://www.purechirodubai.com,http://www.linkedin.com/company/pure-european-chiropractic-centre,https://www.facebook.com/purehealthdubai/,https://twitter.com/PureChiroDubai,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","chiropractic, physiotherapy, paediatric chiropractic, paediatric physiotherapy",'+971 4 453 3313,Find the best Dubai chiropractor for back and neck pain. Visit Pure Chiropractic Clinic and achieve lasting relief and improved mobility. Schedule an appointment today!,"Outlook, GoDaddy Hosting, Shutterstock, Google Tag Manager, reCAPTCHA, WordPress.org, DoubleClick Conversion, Google Dynamic Remarketing, Mobile Friendly, YouTube, Google Font API, DoubleClick, Vimeo, Varnish, Google Analytics, AI, TikTok",,,,,3823000.00,,66dbffc11be2b000011d3fb5,8000,"Pure Chiropractic & Physiotherapy Centre (www.purechirodubai.com) offers specialist services in the field of Chiropractic and Physiotherapy to treat impairments, promote mobility, function, and quality of life. Our non-invasive method of treatment is a natural and drug-free approach to good health, delivered in a comfortable and caring environment.

Since the conception of Pure in the latter half of 2013, our health specialists have successfully treated thousands of patients. From a small team of two Chiropractors, we have now grown to be a group of health specialists dedicated to the wellbeing of our patients at our two health centres.

Our team consists of highly qualified and experienced professionals, who bring their wealth of invaluable international and regional experience to serve our patients, through a comprehensive range of current and best practice interventions. Pure Chiropractic & Physiotherapy (www.purehealthdubai.com) centres are located in Concord tower (Dubai Media City) and Apex building (Dubai Motor City).",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c379e221b048000178b73f/picture,,,,
OneClickDrive,OneClickDrive,Cold,,29,"leisure, travel & tourism",abdullahshami97@gmail.com,http://www.oneclickdrive.com,http://www.linkedin.com/company/oneclickdrive,https://facebook.com/oneclickdrive,https://twitter.com/oneclickdrive,دبي مارينا مول,Dubai,Dubai,United Arab Emirates,,"دبي مارينا مول, Dubai, Dubai, United Arab Emirates","car rental, search engine, driving in dubai, car rental portal, advertising, marketing, online advertising car rental, luxury car rental, limousine rental, car rental deals, chauffeur service, airport transfer",,"Rent a car in Dubai at the best rates for all types of cars. Compare daily, weekly and monthly car rental offers from local car rentals. Book directly, zero commission.","Fastly CDN, Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Google Play, Disqus, Google Font API, Google Dynamic Remarketing, Mobile Friendly, Ubuntu, Google Analytics, Google AdWords Conversion, Facebook Widget, WordPress.org, Facebook Login (Connect), DoubleClick, DoubleClick Conversion, Nginx, Google Maps, Google Maps (Non Paid Users), YouTube, Adobe Media Optimizer, Varnish, Cedexis Radar, Yandex Metrica, reCAPTCHA, Criteo, Shutterstock, Google Plus, Vimeo, Google Tag Manager, Multilingual, Remote, Basis, AI",,,,,1700000.00,,66dbffc11be2b000011d3fc9,7900,"The OneClickDrive car rental app and website gives you access to the world's largest car rental and leasing marketplace on your device. Find the best daily, weekly and monthly car hire offers in Dubai and 35+ cities across the world with ease. 

Book car rentals at best-in-market local rates directly with local suppliers. Browse live offers for all types of cars: Economy, luxury, sports, SUVs, commercial vehicles and more. Search and filter cars based on your budget and requirements.

Our car rental partners' fleet include every car you've ever dreamed of. From high-end supercars such as Ferrari, Lamborghini and Rolls Royce to luxury SUVs Range Rover, Mercedes Benz and even economy cars such as Kia Picanto, Nissan Sunny and Renault Duster.
Access our fully-vetted, top of the line Verified Listings on OneClickDrive for the best car rental experience in Dubai.

A car rental app that empowers you!

Huge selection
Search and compare offers from a wide range of car rentals near you. Pick a car that's best suited for you.

Best Rates
Find best-in-market local car rental prices free of mark-ups available in local and international currencies.

Book Directly
Cut out the middle-man. Hire the rental car straight from the supplier. Book via Phone, WhatsApp or Email.

Free of Charge
Unlike other websites or apps, you don't pay any commission, booking fee or mark-ups while booking through us. 

Local Suppliers
Get accurate, up-to-date info at all times. All car offers are listed by local suppliers. 

Shortlist & Share
Save your favorite and requested car rental options. Share with friends for a collaborative choice.

Take control of your next car rental plan with the OneClickDrive App. Choose from a range of offers, review details and charges, request real pictures of the car and book it directly.

We are currently working with car rental companies in Dubai, Abu Dhabi, Sharjah, Ajman, Istanbul, London, Belgrade, Muscat, Baku, Marrakech, Dukm, Salalah, Barcelona, Ankara & more.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ceed0b9900e80001119896/picture,,,,
Decision Management Consultants,Decision Management Consultants,Cold,,20,human resources,abdullahshami97@gmail.com,http://www.dmcdubai.com,http://www.linkedin.com/company/dmc-dubai,https://facebook.com/mydmcdubai,https://twitter.com/mydmcdubai,طريق صلاح الدين,Dubai,Dubai,United Arab Emirates,,"طريق صلاح الدين, Dubai, Dubai, United Arab Emirates","hr solutions, recruitment agency, it staffing, contract staffing, executive talent search, outsourcing services, business process outsourcing, payroll outsourcing, pro services",'+971 4 262 4023,,"Outlook, Microsoft Office 365, Google Cloud Hosting, Mobile Friendly, reCAPTCHA, WordPress.org, Google Tag Manager, AI",,,,,2000000.00,,66dbffc11be2b000011d3fda,7361,"Decision Management Consultants is a 30+ years old established firm in UAE specialized in providing quality recruitment and talent solutions across the GCC.

We offers full lifecycle permanent staffing services to the organizations, helps also with Temp & Permanent IT staffing needs. 

What services do we offer?
1. HR solutions
2. Recruitment / Executive Talent services
3. Permanent / Contract staffing
4. Payroll Outsourcing
5. PRO services 

Send your hiring requirements to brian@dmcdubai.com or call +971 4 262 4023.",1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/669fe786070ced00019c2408/picture,,,,
Middle East Molecular Biology Society - MEMBS,Middle East Molecular Biology Society,Cold,,22,research,abdullahshami97@gmail.com,http://www.membs.org,http://www.linkedin.com/company/membs,https://facebook.com/pages/Middle-East-Molecular-Biology-Society-MEMBS/455310631184630,https://twitter.com/MEMBS_2015,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","education, researchers, suppliers, molecular biology, biotechnology, cell culture, biochemistry, research, lifesciences, nano technologies, stem cells, pcr, qpcr, rtpcr, genetics, dna, sequencing, extraction, microarray, cancer, elisa, genomics, genotyping, rna isolation, protein, transfection",'+971 4 452 2009,,"Cloudflare DNS, Outlook, CloudFlare Hosting, , AI",,,,,3197000.00,,66dbffc11be2b000011d4012,"2836, 2836","MEMBS is the Middle East's largest inclusive community of biomedical engineers.

Founded in Dubai, on Nov 19, 2012, MEMBS membership comprises a wide range of practicing professionals and students that make up the more than 10,000 members Middle East wide.

MEMBS is a leading scientific voice for Molecular Biology, the fundamental element of all life sciences. We are dedicated to advance the scientific discovery, advocate cutting-edge researches, and promote professional development.

To serve the needs and interests of our members, MEMBS aims to facilitate the promotion of new discoveries in biological sciences for the benefit of Middle East region. This cannot be accomplished without implementing effective modern means of communication and engagement among which is our Molecular Biology News site, Education Department site, Social Network site, and the Annual Congress Site.

Through these multiple platforms, MEMBS provides its members with full access to share practices, information, ideas and opinions that are shaping one of the fastest growing fields in science.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dbdcff438a8800015b75c1/picture,,,,
TAGTEK Trading LLC,TAGTEK Trading,Cold,,10,marketing & advertising,abdullahshami97@gmail.com,http://www.tag-tek.com,http://www.linkedin.com/company/tagtek-trading-llc,https://facebook.com/TAGTEK.DUBAI?_rdc=1&_rdr,https://twitter.com/TAGTEKTRADING,شارع عمر بن الخطاب,Dubai,Dubai,United Arab Emirates,,"شارع عمر بن الخطاب, Dubai, Dubai, United Arab Emirates","design services, printing solutions, uniforms, apparels, event services, promotional gifts, id card printers, preprinted smart cards, custom lanyards, custom wristbands, custom metal accessories, medal, trophies, ribbons, luggage belts, tags, diaries, calendars",'+971 4 273 0022,,"Remote, Android, ",,,,,1381000.00,,66dbffc11be2b000011d4018,,"TAGTEK Trading LLC is defined by its values and innovation in the field of branding, advertising and promotions. With a dedicated team of highly qualified individuals we strive to provide our clients with a one-stop branding solution for their organization. With a skill set comprising of 15 years of extensive industry experience in corporate identity solutions. TAGTEK empowers its customers by exploring their imagination and turning it into a tangible branding product. With a comprehensive portfolio and having worked with renowned organizations TAGTEK has become a symbol of trust and satisfaction.

With the goal of becoming a market leader in providing unmatched branding solutions to our clients, we believe in employing cost effective and timely methods so that our customers receive their services and products in the least amount of time at the most optimal cost. TAGTEK deals in design services, corporate identity creation, printing solutions, digital marketing, brand creation, brand promotion and events management.",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/647d7be2bebfa200019ad5df/picture,,,,
Pixelflames FZE,Pixelflames FZE,Cold,,20,outsourcing/offshoring,abdullahshami97@gmail.com,http://www.pixelflames.com,http://www.linkedin.com/company/pixelflames-fze,https://www.facebook.com/Pixelflames/,https://twitter.com/pixelflamesfze,شارع الفالع,Dubai,Dubai,United Arab Emirates,,"شارع الفالع, Dubai, Dubai, United Arab Emirates","facebook ads etc, umbraco, mobile applications, technical cms consultancy sitefinity, web design amp development, facebook applications, online mediagoogle adwords, drupal, website designing amp development, wordpress, social media marketing, digital marketing, uxwireframing, web & app development, search marketing, flash banner production, technical amp cms consultancy sitefinity, website designing development, web design development",'+971 50 250 4787,Wordpress Experts in Dubai | Dubai's leading wordpress website design agency. Partner with our WordPress white-label agency in Dubai for exceptional digital solutions.,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Amazon AWS, Mobile Friendly, Google Tag Manager, reCAPTCHA, Cloudinary, Nginx, WordPress.org, Apache, YouTube, Node.js, , Laravel, Flutter",,,,,1301000.00,,66dbffc11be2b000011d401a,,"Pixelflames is a Web & Mobile app design and development agency specialises in providing high quality web/app designs, SEO, Digital Marketing, CMS consultancy and e-commerce solutions. We have over 12+ years service experience in transforming the ideas into efficient digital solutions. We have successfully delivered over 100+ projects in various technology platforms. 

We are specialized in various Content Management Systems such as Wordpress, Concrete5, Drupal, Umbraco, DNN, Progress Sitefinity, Kentico as well as E-commerce systems, such as WooCommerce, uCommerce (Umbraco), and custom E-commerce solutions.  
We intertwine strategy, content, design and technology to create memorable and impactful digital experiences",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d4fbc472a0090001918108/picture,,,,
